Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,270.600006,277.500000,263.000000,263.649994,263.649994,8325600
2022-11-08,263.399994,264.989990,255.580002,258.459991,258.459991,6526132
2022-11-09,258.359985,260.880005,247.000000,249.600006,249.600006,8921811
2022-11-10,247.199997,250.960007,233.199997,235.000000,235.000000,15306474
2022-11-11,246.750000,247.979996,237.789993,238.220001,238.220001,13404991
2022-11-14,237.000000,242.740005,234.449997,237.479996,237.479996,8190719
2022-11-15,239.479996,253.000000,237.009995,250.009995,250.009995,13656986
2022-11-16,250.000000,250.000000,241.009995,242.130005,242.130005,7858253
2022-11-17,240.410004,242.580002,231.020004,242.449997,242.449997,10645510
2022-11-18,239.990005,244.899994,230.009995,230.529999,230.529999,10552431
2022-11-21,228.000000,233.000000,226.770004,230.699997,230.699997,5166792
2022-11-22,230.000000,235.000000,224.770004,229.710007,229.710007,6686699
2022-11-23,228.330002,229.910004,221.669998,225.759995,225.759995,7883855
2022-11-24,227.000000,232.229996,225.580002,229.619995,229.619995,6158539
2022-11-25,227.000000,234.440002,224.500000,225.009995,225.009995,7938305
2022-11-28,220.000000,224.619995,218.770004,224.000000,224.000000,6013859
2022-11-29,224.000000,228.000000,220.440002,225.009995,225.009995,6951272
2022-11-30,224.149994,228.210007,221.000000,222.889999,222.889999,6711318
2022-12-01,226.000000,232.199997,224.570007,230.990005,230.990005,11450882
2022-12-02,229.000000,232.649994,225.160004,226.929993,226.929993,8411597
2022-12-05,226.919998,227.500000,221.000000,224.350006,224.350006,7428211
2022-12-06,224.350006,240.880005,223.009995,238.300003,238.300003,16907644
2022-12-07,239.000000,241.979996,236.500000,239.320007,239.320007,8732267
2022-12-08,239.000000,241.119995,235.160004,238.000000,238.000000,5537496
2022-12-09,239.000000,249.009995,239.000000,244.809998,244.809998,12213079
2022-12-12,245.000000,250.000000,240.500000,243.960007,243.960007,9483119
2022-12-13,243.960007,243.960007,234.380005,235.300003,235.300003,9611746
2022-12-14,249.899994,250.550003,240.289993,242.300003,242.300003,19798620
2022-12-15,238.610001,253.500000,238.059998,247.119995,247.119995,11837872
2022-12-16,244.000000,244.830002,238.000000,241.220001,241.220001,8077439
2022-12-19,239.000000,241.169998,234.000000,234.399994,234.399994,6166158
2022-12-20,232.000000,236.979996,229.199997,231.830002,231.830002,5214343
2022-12-21,231.779999,232.199997,225.330002,228.000000,228.000000,4882853
2022-12-22,228.889999,229.490005,222.649994,222.949997,222.949997,5239768
2022-12-23,218.149994,222.000000,216.000000,217.820007,217.820007,6205485
2022-12-26,217.389999,224.259995,217.389999,223.759995,223.759995,5582454
2022-12-27,223.759995,228.199997,221.800003,227.520004,227.520004,4961713
2022-12-28,225.800003,227.320007,222.009995,224.800003,224.800003,4379105
2022-12-29,225.279999,231.330002,223.929993,227.639999,227.639999,6216923
2022-12-30,230.199997,230.789993,224.250000,225.300003,225.300003,4369320
2023-01-03,224.009995,231.000000,222.059998,230.300003,230.300003,6217311
2023-01-04,230.350006,234.979996,225.160004,226.300003,226.300003,8166793
2023-01-05,226.000000,229.960007,224.000000,228.309998,228.309998,6207914
2023-01-06,226.949997,231.100006,225.100006,228.320007,228.320007,6298644
2023-01-09,229.000000,233.000000,226.500000,229.399994,229.399994,6965500
2023-01-10,229.399994,234.660004,228.500000,230.500000,230.500000,8716006
2023-01-11,234.500000,240.000000,228.300003,228.899994,228.899994,11612296
2023-01-12,231.100006,231.279999,223.990005,225.610001,225.610001,6019060
2023-01-13,226.320007,227.279999,224.050003,227.110001,227.110001,4362495
2023-01-16,225.000000,238.880005,224.160004,236.000000,236.000000,12386263
2023-01-17,235.869995,243.929993,235.000000,242.559998,242.559998,9480354
2023-01-18,242.580002,244.000000,238.070007,239.199997,239.199997,4930266
2023-01-19,238.899994,245.880005,238.000000,245.660004,245.660004,6496646
2023-01-20,245.000000,247.300003,242.160004,245.690002,245.690002,5825476
